date,SP500
,SPY
2003-10-20,74.8318932019
2003-10-21,74.7036588088
2003-10-22,73.7632732596
2003-10-23,73.6279125964
2003-10-24,73.7917705038
2003-10-27,73.8273876065
2003-10-28,74.8318932019
2003-10-29,74.9316303507
2003-10-30,75.0883627004
2003-10-31,75.0171220833
2003-11-03,75.5086836947
2003-11-04,75.3448314866
2003-11-05,75.4018202757
2003-11-06,75.8007759953
2003-11-07,75.2379687799
2003-11-10,74.9316303507
2003-11-11,74.9102593767
2003-11-12,75.7509070646
2003-11-13,75.772278751
2003-11-14,75.1311053609
2003-11-17,74.753527027
2003-11-18,73.976993686
2003-11-19,74.6039209475
2003-11-20,73.9342510255
2003-11-21,74.2405887423
2003-11-24,75.223716952
2003-11-25,75.5086836947
2003-11-26,75.7794043088
2003-11-28,75.8363930979
2003-12-01,76.6556690994
2003-12-02,76.4633203594
2003-12-03,76.3422115242
2003-12-04,76.6556690994
2003-12-05,76.1213591283
2003-12-08,76.6342981254
2003-12-09,76.0429936658
2003-12-10,76.035873095
2003-12-11,76.8907669115
2003-12-12,77.040372991
2003-12-15,76.6556690994
2003-12-16,77.054624819
2003-12-17,77.2968424896
2003-12-18,78.1659874217
2003-12-19,77.949122403
2003-12-22,78.4931213731
2003-12-23,78.5432256937
2003-12-24,78.4644892079
2003-12-26,78.5217478119
2003-12-29,79.5668007253
2003-12-30,79.5811135868
2003-12-31,79.6526914945
2004-01-02,79.6169050459
2004-01-05,80.4830056743
2004-01-06,80.5617428759
2004-01-07,80.8337394978
2004-01-08,81.1558411561
2004-01-09,80.4472142152
2004-01-12,81.0413182216
2004-01-13,80.5688971593
2004-01-14,81.2417376516
2004-01-15,81.4421570816
2004-01-16,81.7642637504
2004-01-20,81.7427858686
2004-01-21,82.3869941957
2004-01-22,82.1722619042
2004-01-23,81.90741885
2004-01-26,82.9381531755
2004-01-27,82.0863654087
2004-01-28,81.1486875884
2004-01-29,81.2274240743
2004-01-30,81.2274240743
2004-02-02,81.5781578978
2004-02-03,81.4421570816
2004-02-04,80.7764751674
2004-02-05,81.0126860565
2004-02-06,81.9217324273
2004-02-09,81.9432103091
2004-02-10,82.208047637
2004-02-11,83.0813082751
2004-02-12,82.780679488
2004-02-13,82.408467067
2004-02-17,83.152885467
2004-02-18,82.787838782
2004-02-19,82.4800499852
2004-02-20,82.2295205083
2004-02-23,82.0219417844
2004-02-24,81.8787866848
2004-02-25,82.2223669407
2004-02-26,82.2724712613
2004-02-27,82.3297305812
2004-03-01,83.1457318994
2004-03-02,82.6589965439
2004-03-03,82.8093109374
2004-03-04,83.0240439447
2004-03-05,83.3031998605
2004-03-08,82.2867848386
2004-03-09,81.9575238864
2004-03-10,80.5832157471
2004-03-11,79.5381685601
2004-03-12,80.5832157471
2004-03-15,79.5954271642
2004-03-16,80.0177439059
2004-03-17,80.9124766994
2004-03-18,80.9339495706
2004-03-19,79.7777815811
2004-03-22,78.7649384788
2004-03-23,78.6284535328
2004-03-24,78.6931061492
2004-03-25,79.734683189
2004-03-26,79.7562323851
2004-03-29,80.8768257776
2004-03-30,81.1497949514
2004-03-31,81.2431757587
2004-04-01,81.7316412028
2004-04-02,82.3494054149
2004-04-05,82.8019521802
2004-04-06,82.5361734945
2004-04-07,82.3422206735
2004-04-08,82.1554590589
2004-04-12,82.4787056195
2004-04-13,81.3221928297
2004-04-14,81.451492316
2004-04-15,81.1426102099
2004-04-16,81.7675598818
2004-04-19,81.7675598818
2004-04-20,80.3955457932
2004-04-21,80.9342936526
2004-04-22,82.0692572464
2004-04-23,82.1482743174
2004-04-26,82.0333385674
2004-04-27,82.1051759253
2004-04-28,81.0420446612
2004-04-29,80.3308989234
2004-04-30,79.7059492515
2004-05-03,80.5607646768
2004-05-04,80.4961120603
2004-05-05,81.0133107237
2004-05-06,80.3165294405
2004-05-07,78.9876187724
2004-05-10,78.1759074859
2004-05-11,78.8367700901
2004-05-12,79.3395992705
2004-05-13,79.0091679684
2004-05-14,79.0450866474
2004-05-17,78.3698538419
2004-05-18,78.7649384788
2004-05-19,78.4919693051
2004-05-20,78.7433892828
2004-05-21,78.8798684822
2004-05-24,79.2102997843
2004-05-25,80.3452626597
2004-05-26,80.6254115466
2004-05-27,81.0779633401
2004-05-28,81.0707785987
2004-06-01,80.9630275901
2004-06-02,81.2647249547
2004-06-03,80.517660538
