date,SPY,GOOGL,AAPL,AMZN,MSFT,EBAY,TSM,ON,INTC,IBM,AMD,CSCO,ADBE,ADSK,T,DIS,CRM,JPM,BAC,BRK-B,JNJ,PG,HD,WMT,KO,PEP,UL,MCD,SBUX,MRK,UNH,V,MA,XOM,CVX,GE,X,TSLA,BABA,GILD,TWTR,GPRO,TIF,SHAK,LULU,DD,SPLK,TEAM,OKTA,PS,ZS,DOCU,MDB,EPI,EWS,VNM,EIDO,EPHE,PEK,AIG,PFE,C,CAT,NVDA,NKE,PYPL,XLNX,SQ,MU,TGT,WDAY,TWLO,ROKU,VMW,BND,IYR,GLD,MTCH,COST,TCEHY,NIO,UBER,LYFT,WORK,KRUS,CRWD,ZM,BIDU,PINS,PDD,IQ,MOMO,LK,BYND,GH,CRSP,TXG,MRNA,REGN,APRN,SHOP,NOW,DDOG,LVGO,AMAT,POWI,TDOC,TTD,BILI,IPHI,MELI,PLUG,RPRX,WKHS,DPHC,LOW,ETSY,FTCH
,SP500,Alphabet,Apple,Amazon,Microsoft,eBay,Taiwan_Semicon,ON_Semiconductor,Intel,IBM,AMD,Cisco_Systems,Adobe_Systems,AutoDesk,AT&T,Disney,SalesForce,JP_Morgan,Bank of America,Berkshire Hathaway,Johnson&Johnson,P&G,Home Depot,Walmart,Cocal Cola,Pepsico,Unilever,McDonald's,Starbucks,Merck,United Health,Visa,Master Card,Exxon Mobil,Chevron,General Electronics,US Steel,Tesla,Alibaba,Gilead Sciences,Twitter,GoPro,Tiffany & Co,Shake Shack,Lululemon,DuPont,Splunk,Atlassian,Okta,Pluralsight,Zscaler,DocuSign,MongoDB,WisdomTree India,iShares Singapore,Vietnam(VNM),iShares Indonesia,iShares Philippin,ChinaAMC,AIG,Pfizer,Citigroup,Caterpillar,NVIDIA,Nike,PayPal,Xilinx,Square,Micron Tech,Target,Workday,TWLIO,Roku,VMware,US Bond ETF,US REIT ETF,Gold Shares,Match,Costco,Tencent,NIO,Uber,Lyft,Slack,Kura Sushi,Crowd Strike,Zoom Video,Baidu,Pinterest,Pinduoduo,IQIYI,Momo,Luckin Coffee,Beyond Meat,Guardant Health,CRISPR Therapeautics,10x Genomics,Moderna,Regeneron,Blue Apron,Shopify,ServiceNow,Datadog,Livongo Health,Applied Materials,Power Integrations,Teladoc,Trade Desk,Bilibili,Inphi,MercadoLibre,Plug Power,Royalty Pharma,Workhorse,Diamond Peak,Lowes,Etsy,Farfetch
2003-01-15,33511800,0,6627300,6989400,29811300,4914700,8744900,42700,99754800,8146600,6423800,61992300,1684700,3807600,8187600,7520600,0,8147800,6416600,8300,7758700,2556300,13219100,6503500,4445600,3364600,622800,6401700,3210900,3830200,2301600,0,0,11802500,2325700,20564000,2527900,0,0,2087000,0,0,700200,0,0,5328700,0,0,0,0,0,0,0,0,15300,0,0,0,0,5604000,13908400,13680000,1930400,7538200,817000,0,11284500,0,5781200,4297200,0,0,0,0,0,28200,0,0,4420200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265700,0,0,0,0,0,58838000,584000,0,0,0,0,0,101000,0,0,0,4022900,0,0
2003-01-16,44812100,0,9983400,7911600,40685500,9126300,7566300,35100,54420100,9904300,10022000,65668200,2509800,1341100,7546500,6180900,0,7734500,5401700,11500,7760500,3080400,15111400,8086900,3982700,3661200,719400,17167700,2144300,5283900,2163000,0,0,10829300,2391200,24472900,3024600,0,0,3212400,0,0,782700,0,0,3206400,0,0,0,0,0,0,0,0,27500,0,0,0,0,5654000,28981000,13292000,1639000,16999800,1042400,0,10639300,0,7320900,4796100,0,0,0,0,0,20000,0,0,3819000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674900,0,0,0,0,0,31909400,601800,0,0,0,0,0,92000,0,0,0,3948700,0,0
2003-01-17,35618300,0,4763600,5786200,77938000,14422900,8409200,95700,67963800,17331200,23198900,81310000,3264700,1052700,5888600,6720900,0,9809500,5084500,13100,5628700,3710400,23525200,8661200,5319200,3420400,832500,14052300,3529600,5925300,2126400,0,0,10826900,2502100,25292900,1530700,0,0,3389600,0,0,945500,0,0,2722800,0,0,0,0,0,0,0,0,5900,0,0,0,0,5078000,18679000,11217000,1407100,8823600,1351900,0,9704400,0,8782800,3666900,0,0,0,0,0,67600,0,0,4828800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327200,0,0,0,0,0,40062500,345700,0,0,0,0,0,166000,0,0,0,5372500,0,0
2003-01-21,36826200,0,4526000,6293100,43079600,11424300,4390600,192100,57401500,8926900,8814300,62930800,2376100,817000,5781800,6459100,0,10367800,4493800,13500,9805400,4418100,15390300,7827400,3793800,3899300,804900,6566700,3819100,7706000,1782400,0,0,12169800,3176100,21500100,1645700,0,0,2386300,0,0,1668700,0,0,2754400,0,0,0,0,0,0,0,0,29800,0,0,0,0,3940000,20162700,13691000,1808500,8061300,1272600,0,12911000,0,7200000,3086800,0,0,0,0,0,28700,0,0,4034600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447900,0,0,0,0,0,33076400,259400,0,0,0,0,0,129000,0,0,0,5255000,0,0
2003-01-22,42286500,0,3841800,6683600,43474000,10459000,4535400,244200,60169100,9432400,8840100,64965500,3422200,1089700,5808800,6219100,0,16066100,6943700,18500,9650200,4327100,12664500,11097600,4387500,4979200,624600,7321500,3954100,7587100,2758000,0,0,15991200,4453800,24849200,1352400,0,0,2808800,0,0,1916300,0,0,3154400,0,0,0,0,0,0,0,0,28100,0,0,0,0,5332000,21708700,17860000,2930400,4591600,1074600,0,14744700,0,8570800,5695300,0,0,0,0,0,44100,0,0,6860900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458400,0,0,0,0,0,39665000,235700,0,0,0,0,0,158000,0,0,0,5986700,0,0
2003-01-23,55919800,0,4076000,10998000,35687400,6296900,8294000,135300,51948900,8371400,8632800,62491200,2317900,1699400,10967100,4476100,0,8020000,5615500,11200,6783600,3282300,11995700,10896500,5564500,5548200,520300,14923500,3428300,5900200,3790500,0,0,10857800,4100700,21979700,2115800,0,0,2128100,0,0,866200,0,0,3043100,0,0,0,0,0,0,0,0,57400,0,0,0,0,4462000,20658800,18837000,4383900,7653800,975000,0,12547300,0,8005600,4122800,0,0,0,0,0,24700,0,0,4800800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396600,0,0,0,0,0,40002000,260000,0,0,0,0,0,195000,0,0,0,6334000,0,0
2003-01-24,68633900,0,5454800,21681800,51513500,7131700,3681000,212900,60831600,7748000,6597600,70564100,2902500,1018000,13030700,8230400,0,11709500,6470200,13000,7866700,3184900,13705600,8425500,5636600,4431800,756300,9160100,19038700,7055800,3276900,0,0,12763400,3619300,23816200,1563800,0,0,2601500,0,0,803700,0,0,2670900,0,0,0,0,0,0,0,0,21300,0,0,0,0,15716000,22274700,19137000,1820800,7475900,977100,0,8389700,0,7929100,4301300,0,0,0,0,0,88700,0,0,4704600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398000,0,0,0,0,0,37527200,2753600,0,0,0,0,0,101000,0,0,0,5284400,0,0
2003-01-27,57884400,0,6989400,8207000,57419300,7183100,7480700,198900,56559500,9307800,5188700,58554700,2305400,887700,8329000,8108500,0,8787500,7219400,16800,10544800,4686600,16422300,11255800,6724300,4074700,289800,6047700,6295500,8435500,2227100,0,0,14653000,4858500,28459900,921200,0,0,2459700,0,0,1402600,0,0,4085800,0,0,0,0,0,0,0,0,149100,0,0,0,0,8608000,22790100,17091000,1505000,7409300,1209000,0,9445600,0,8569600,4090900,0,0,0,0,0,105100,0,0,4372000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458500,0,0,0,0,0,26006200,2208300,0,0,0,0,0,119000,0,0,0,5375400,0,0
2003-01-28,46929100,0,5111700,7968400,43075600,7827200,15055200,86100,58387000,8017400,6159100,64116500,2329800,1081800,13137900,6470600,0,10567800,4488000,505000,7595000,5376600,13693000,9656900,8576300,4934900,296100,6247000,5605100,9935700,2216900,0,0,15268600,3679900,22571000,973200,0,0,1781400,0,0,399600,0,0,5854500,0,0,0,0,0,0,0,0,42800,0,0,0,0,7194000,19374200,15166000,1473500,14879000,1305500,0,9068000,0,7964400,6575900,0,0,0,0,0,19300,0,0,4251900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363300,0,0,0,0,0,28980500,1653000,0,0,0,0,0,1665000,0,0,0,4628200,0,0
2003-01-29,53712200,0,6661500,7056900,53442000,7623700,10042700,86100,63040400,7755000,6044500,71861700,2437900,643100,11870800,6992300,0,9989200,5557000,360000,9095300,5074800,15072300,8967300,13180600,5166800,341600,6954300,3757200,6650100,2688800,0,0,17058100,4968900,25473300,1573400,0,0,3713400,0,0,729900,0,0,4409100,0,0,0,0,0,0,0,0,13600,0,0,0,0,6494000,20208100,17258000,1914700,8517000,1728900,0,9127200,0,39060500,4647900,0,0,0,0,0,45400,0,0,5195500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518800,0,0,0,0,0,43916700,1007900,0,0,0,0,0,5816000,0,0,0,3790600,0,0
