date,BILI,IPHI,MELI,PLUG,RPRX,WKHS,DPHC,LOW,ETSY,FTCH
,Bilibili,Inphi,MercadoLibre,Plug Power,Royalty Pharma,Workhorse,Diamond Peak,Lowes,Etsy,Farfetch
2003-03-20,0.0,0.0,0.0,50.61,0.0,0.0,0.0,16.0041189027,0.0,0.0
2003-03-21,0.0,0.0,0.0,50.3,0.0,0.0,0.0,16.5407001487,0.0,0.0
2003-03-24,0.0,0.0,0.0,50.0,0.0,0.0,0.0,15.8602529165,0.0,0.0
2003-03-25,0.0,0.0,0.0,52.9,0.0,0.0,0.0,16.1363200793,0.0,0.0
2003-03-26,0.0,0.0,0.0,51.7,0.0,0.0,0.0,16.3423983839,0.0,0.0
2003-03-27,0.0,0.0,0.0,51.5,0.0,0.0,0.0,16.2101972073,0.0,0.0
2003-03-28,0.0,0.0,0.0,49.5,0.0,0.0,0.0,15.9224652348,0.0,0.0
2003-03-31,0.0,0.0,0.0,50.6,0.0,0.0,0.0,15.8680294563,0.0,0.0
2003-04-01,0.0,0.0,0.0,48.7,0.0,0.0,0.0,15.992454093,0.0,0.0
2003-04-02,0.0,0.0,0.0,51.0,0.0,0.0,0.0,16.4512699411,0.0,0.0
2003-04-03,0.0,0.0,0.0,49.3,0.0,0.0,0.0,16.7312253738,0.0,0.0
2003-04-04,0.0,0.0,0.0,48.8,0.0,0.0,0.0,16.7778846125,0.0,0.0
2003-04-07,0.0,0.0,0.0,50.1,0.0,0.0,0.0,16.87509136,0.0,0.0
2003-04-08,0.0,0.0,0.0,50.9,0.0,0.0,0.0,16.7662198028,0.0,0.0
2003-04-09,0.0,0.0,0.0,50.4,0.0,0.0,0.0,16.5756945778,0.0,0.0
2003-04-10,0.0,0.0,0.0,49.9,0.0,0.0,0.0,16.9722981075,0.0,0.0
2003-04-11,0.0,0.0,0.0,49.1,0.0,0.0,0.0,17.0695048549,0.0,0.0
2003-04-14,0.0,0.0,0.0,49.6,0.0,0.0,0.0,17.2794714295,0.0,0.0
2003-04-15,0.0,0.0,0.0,49.4,0.0,0.0,0.0,17.6741308242,0.0,0.0
2003-04-16,0.0,0.0,0.0,48.9,0.0,0.0,0.0,17.3901309232,0.0,0.0
2003-04-17,0.0,0.0,0.0,49.0,0.0,0.0,0.0,17.7597198354,0.0,0.0
2003-04-21,0.0,0.0,0.0,48.5,0.0,0.0,0.0,17.724706149,0.0,0.0
2003-04-22,0.0,0.0,0.0,49.6,0.0,0.0,0.0,17.7791718834,0.0,0.0
2003-04-23,0.0,0.0,0.0,49.8,0.0,0.0,0.0,17.5690897649,0.0,0.0
2003-04-24,0.0,0.0,0.0,50.5,0.0,0.0,0.0,17.4290350192,0.0,0.0
2003-04-25,0.0,0.0,0.0,50.8,0.0,0.0,0.0,17.2811994543,0.0,0.0
2003-04-28,0.0,0.0,0.0,51.9,0.0,0.0,0.0,17.460158296,0.0,0.0
2003-04-29,0.0,0.0,0.0,51.3,0.0,0.0,0.0,17.3901309232,0.0,0.0
2003-04-30,0.0,0.0,0.0,50.7,0.0,0.0,0.0,17.0750077454,0.0,0.0
2003-05-01,0.0,0.0,0.0,50.1,0.0,0.0,0.0,16.9271721805,0.0,0.0
2003-05-02,0.0,0.0,0.0,50.9,0.0,0.0,0.0,17.1761583951,0.0,0.0
2003-05-05,0.0,0.0,0.0,50.1,0.0,0.0,0.0,17.137254299,0.0,0.0
2003-05-06,0.0,0.0,0.0,50.9,0.0,0.0,0.0,17.3084323215,0.0,0.0
2003-05-07,0.0,0.0,0.0,51.3,0.0,0.0,0.0,17.3979117424,0.0,0.0
2003-05-08,0.0,0.0,0.0,52.9,0.0,0.0,0.0,17.3512268272,0.0,0.0
2003-05-09,0.0,0.0,0.0,50.9,0.0,0.0,0.0,17.6196650897,0.0,0.0
2003-05-12,0.0,0.0,0.0,50.9,0.0,0.0,0.0,17.9736923636,0.0,0.0
2003-05-13,0.0,0.0,0.0,50.5,0.0,0.0,0.0,17.7208157394,0.0,0.0
2003-05-14,0.0,0.0,0.0,59.2,0.0,0.0,0.0,17.3278843696,0.0,0.0
2003-05-15,0.0,0.0,0.0,54.3,0.0,0.0,0.0,17.4368158384,0.0,0.0
2003-05-16,0.0,0.0,0.0,53.9,0.0,0.0,0.0,17.2345145391,0.0,0.0
2003-05-19,0.0,0.0,0.0,52.6,0.0,0.0,0.0,15.6783506981,0.0,0.0
2003-05-20,0.0,0.0,0.0,51.2,0.0,0.0,0.0,15.1725974498,0.0,0.0
2003-05-21,0.0,0.0,0.0,50.2,0.0,0.0,0.0,15.6511178309,0.0,0.0
2003-05-22,0.0,0.0,0.0,50.2,0.0,0.0,0.0,15.6199945541,0.0,0.0
2003-05-23,0.0,0.0,0.0,50.8,0.0,0.0,0.0,15.5110630852,0.0,0.0
2003-05-27,0.0,0.0,0.0,52.9,0.0,0.0,0.0,15.8417479014,0.0,0.0
2003-05-28,0.0,0.0,0.0,54.4,0.0,0.0,0.0,16.0946245256,0.0,0.0
2003-05-29,0.0,0.0,0.0,53.9,0.0,0.0,0.0,15.9856930567,0.0,0.0
2003-05-30,0.0,0.0,0.0,54.3,0.0,0.0,0.0,16.4408709802,0.0,0.0
2003-06-02,0.0,0.0,0.0,53.4,0.0,0.0,0.0,16.4175285226,0.0,0.0
2003-06-03,0.0,0.0,0.0,54.5,0.0,0.0,0.0,17.0166516014,0.0,0.0
2003-06-04,0.0,0.0,0.0,55.99,0.0,0.0,0.0,17.2734186351,0.0,0.0
2003-06-05,0.0,0.0,0.0,55.9,0.0,0.0,0.0,17.4679391152,0.0,0.0
2003-06-06,0.0,0.0,0.0,55.4,0.0,0.0,0.0,17.1022406126,0.0,0.0
2003-06-09,0.0,0.0,0.0,53.2,0.0,0.0,0.0,16.6704051467,0.0,0.0
2003-06-10,0.0,0.0,0.0,54.5,0.0,0.0,0.0,17.2033912623,0.0,0.0
2003-06-11,0.0,0.0,0.0,53.59,0.0,0.0,0.0,17.1644871662,0.0,0.0
2003-06-12,0.0,0.0,0.0,53.0,0.0,0.0,0.0,17.4095829712,0.0,0.0
2003-06-13,0.0,0.0,0.0,51.1,0.0,0.0,0.0,17.1761583951,0.0,0.0
2003-06-16,0.0,0.0,0.0,52.21,0.0,0.0,0.0,17.5729801745,0.0,0.0
2003-06-17,0.0,0.0,0.0,52.6,0.0,0.0,0.0,17.5885418129,0.0,0.0
2003-06-18,0.0,0.0,0.0,51.4,0.0,0.0,0.0,17.6313363185,0.0,0.0
2003-06-19,0.0,0.0,0.0,50.8,0.0,0.0,0.0,17.4095829712,0.0,0.0
2003-06-20,0.0,0.0,0.0,50.8,0.0,0.0,0.0,17.1956104431,0.0,0.0
2003-06-23,0.0,0.0,0.0,49.7,0.0,0.0,0.0,16.8454735788,0.0,0.0
2003-06-24,0.0,0.0,0.0,48.3,0.0,0.0,0.0,16.8649256269,0.0,0.0
2003-06-25,0.0,0.0,0.0,48.1,0.0,0.0,0.0,16.8843776749,0.0,0.0
2003-06-26,0.0,0.0,0.0,48.5,0.0,0.0,0.0,16.9738570957,0.0,0.0
2003-06-27,0.0,0.0,0.0,48.0,0.0,0.0,0.0,16.775446206,0.0,0.0
2003-06-30,0.0,0.0,0.0,46.7,0.0,0.0,0.0,16.7093092428,0.0,0.0
2003-07-01,0.0,0.0,0.0,45.8,0.0,0.0,0.0,16.5536928587,0.0,0.0
2003-07-02,0.0,0.0,0.0,45.8,0.0,0.0,0.0,16.5575832683,0.0,0.0
2003-07-03,0.0,0.0,0.0,45.6,0.0,0.0,0.0,16.3864052457,0.0,0.0
2003-07-07,0.0,0.0,0.0,48.5,0.0,0.0,0.0,16.9271721805,0.0,0.0
2003-07-08,0.0,0.0,0.0,50.6,0.0,0.0,0.0,17.6235554993,0.0,0.0
2003-07-09,0.0,0.0,0.0,50.0,0.0,0.0,0.0,17.4873911633,0.0,0.0
2003-07-10,0.0,0.0,0.0,49.5,0.0,0.0,0.0,17.5885418129,0.0,0.0
2003-07-11,0.0,0.0,0.0,50.2,0.0,0.0,0.0,18.2343498069,0.0,0.0
2003-07-14,0.0,0.0,0.0,49.6,0.0,0.0,0.0,18.3666237334,0.0,0.0
2003-07-15,0.0,0.0,0.0,48.9,0.0,0.0,0.0,18.3199388182,0.0,0.0
2003-07-16,0.0,0.0,0.0,47.9,0.0,0.0,0.0,18.321884023,0.0,0.0
2003-07-17,0.0,0.0,0.0,47.6,0.0,0.0,0.0,18.1545075596,0.0,0.0
2003-07-18,0.0,0.0,0.0,46.5,0.0,0.0,0.0,18.3063141194,0.0,0.0
2003-07-21,0.0,0.0,0.0,44.6,0.0,0.0,0.0,18.1000128972,0.0,0.0
2003-07-22,0.0,0.0,0.0,45.3,0.0,0.0,0.0,18.2946366918,0.0,0.0
2003-07-23,0.0,0.0,0.0,45.7,0.0,0.0,0.0,18.4892604863,0.0,0.0
2003-07-24,0.0,0.0,0.0,45.6,0.0,0.0,0.0,18.3335614507,0.0,0.0
2003-07-25,0.0,0.0,0.0,44.89,0.0,0.0,0.0,18.7734112264,0.0,0.0
2003-07-28,0.0,0.0,0.0,46.5,0.0,0.0,0.0,18.8162284613,0.0,0.0
2003-07-29,0.0,0.0,0.0,45.5,0.0,0.0,0.0,18.4892604863,0.0,0.0
2003-07-30,0.0,0.0,0.0,45.7,0.0,0.0,0.0,18.4269808721,0.0,0.0
2003-07-31,0.0,0.0,0.0,44.1,0.0,0.0,0.0,18.5126153417,0.0,0.0
2003-08-01,0.0,0.0,0.0,44.1,0.0,0.0,0.0,18.2946366918,0.0,0.0
2003-08-04,0.0,0.0,0.0,43.5,0.0,0.0,0.0,18.1700774632,0.0,0.0
2003-08-05,0.0,0.0,0.0,42.1,0.0,0.0,0.0,17.8781417713,0.0,0.0
2003-08-06,0.0,0.0,0.0,40.9,0.0,0.0,0.0,17.8314320606,0.0,0.0
2003-08-07,0.0,0.0,0.0,39.5,0.0,0.0,0.0,17.9949160481,0.0,0.0
2003-08-08,0.0,0.0,0.0,42.0,0.0,0.0,0.0,18.2557119328,0.0,0.0
2003-08-11,0.0,0.0,0.0,40.6,0.0,0.0,0.0,18.2245721257,0.0,0.0
2003-08-12,0.0,0.0,0.0,41.0,0.0,0.0,0.0,18.8201209372,0.0,0.0
2003-08-13,0.0,0.0,0.0,41.16,0.0,0.0,0.0,18.6293896185,0.0,0.0
2003-08-14,0.0,0.0,0.0,41.8,0.0,0.0,0.0,18.7928736059,0.0,0.0
2003-08-15,0.0,0.0,0.0,51.6,0.0,0.0,0.0,19.0342071112,0.0,0.0
2003-08-18,0.0,0.0,0.0,50.0,0.0,0.0,0.0,20.2253047341,0.0,0.0
2003-08-19,0.0,0.0,0.0,48.2,0.0,0.0,0.0,20.5016705224,0.0,0.0
2003-08-20,0.0,0.0,0.0,46.7,0.0,0.0,0.0,20.6690469858,0.0,0.0
2003-08-21,0.0,0.0,0.0,54.4,0.0,0.0,0.0,20.8130685938,0.0,0.0
2003-08-22,0.0,0.0,0.0,51.3,0.0,0.0,0.0,20.5950899438,0.0,0.0
2003-08-25,0.0,0.0,0.0,52.8,0.0,0.0,0.0,20.5756275644,0.0,0.0
2003-08-26,0.0,0.0,0.0,51.3,0.0,0.0,0.0,20.482208143,0.0,0.0
2003-08-27,0.0,0.0,0.0,51.8,0.0,0.0,0.0,20.7274341242,0.0,0.0
2003-08-28,0.0,0.0,0.0,51.5,0.0,0.0,0.0,21.2178860865,0.0,0.0
2003-08-29,0.0,0.0,0.0,51.1,0.0,0.0,0.0,21.3541227428,0.0,0.0
2003-09-02,0.0,0.0,0.0,50.6,0.0,0.0,0.0,21.2256710383,0.0,0.0
2003-09-03,0.0,0.0,0.0,51.3,0.0,0.0,0.0,21.4358647365,0.0,0.0
2003-09-04,0.0,0.0,0.0,51.3,0.0,0.0,0.0,21.7511552837,0.0,0.0
2003-09-05,0.0,0.0,0.0,51.5,0.0,0.0,0.0,21.2139936106,0.0,0.0
2003-09-08,0.0,0.0,0.0,50.9,0.0,0.0,0.0,20.9025955393,0.0,0.0
2003-09-09,0.0,0.0,0.0,51.8,0.0,0.0,0.0,20.2097348305,0.0,0.0
2003-09-10,0.0,0.0,0.0,48.6,0.0,0.0,0.0,19.8749819038,0.0,0.0
2003-09-11,0.0,0.0,0.0,50.5,0.0,0.0,0.0,20.0540357949,0.0,0.0
2003-09-12,0.0,0.0,0.0,49.88,0.0,0.0,0.0,20.0267884636,0.0,0.0
2003-09-15,0.0,0.0,0.0,49.1,0.0,0.0,0.0,20.5133479501,0.0,0.0
2003-09-16,0.0,0.0,0.0,49.7,0.0,0.0,0.0,20.7468965036,0.0,0.0
2003-09-17,0.0,0.0,0.0,49.5,0.0,0.0,0.0,20.5950899438,0.0,0.0
2003-09-18,0.0,0.0,0.0,53.0,0.0,0.0,0.0,20.8247460215,0.0,0.0
2003-09-19,0.0,0.0,0.0,52.7,0.0,0.0,0.0,20.9804450571,0.0,0.0
2003-09-22,0.0,0.0,0.0,54.1,0.0,0.0,0.0,20.6729394617,0.0,0.0
2003-09-23,0.0,0.0,0.0,59.4,0.0,0.0,0.0,20.805283642,0.0,0.0
2003-09-24,0.0,0.0,0.0,64.0,0.0,0.0,0.0,20.5834125162,0.0,0.0
2003-09-25,0.0,0.0,0.0,54.7,0.0,0.0,0.0,20.7897137384,0.0,0.0
2003-09-26,0.0,0.0,0.0,51.8,0.0,0.0,0.0,20.4899930948,0.0,0.0
2003-09-29,0.0,0.0,0.0,53.79,0.0,0.0,0.0,20.5289178537,0.0,0.0
2003-09-30,0.0,0.0,0.0,51.3,0.0,0.0,0.0,20.2019498788,0.0,0.0
2003-10-01,0.0,0.0,0.0,53.1,0.0,0.0,0.0,20.8909181116,0.0,0.0
2003-10-02,0.0,0.0,0.0,60.2,0.0,0.0,0.0,21.0193698161,0.0,0.0
2003-10-03,0.0,0.0,0.0,59.8,0.0,0.0,0.0,21.5993487239,0.0,0.0
2003-10-06,0.0,0.0,0.0,61.4,0.0,0.0,0.0,22.1053705899,0.0,0.0
2003-10-07,0.0,0.0,0.0,63.9,0.0,0.0,0.0,22.3817363782,0.0,0.0
2003-10-08,0.0,0.0,0.0,63.5,0.0,0.0,0.0,22.2883169568,0.0,0.0
2003-10-09,0.0,0.0,0.0,65.5,0.0,0.0,0.0,22.4829407514,0.0,0.0
2003-10-10,0.0,0.0,0.0,63.9,0.0,0.0,0.0,22.1637577283,0.0,0.0
2003-10-13,0.0,0.0,0.0,67.7,0.0,0.0,0.0,22.5919300764,0.0,0.0
2003-10-14,0.0,0.0,0.0,69.9,0.0,0.0,0.0,22.7709839674,0.0,0.0
2003-10-15,0.0,0.0,0.0,70.6,0.0,0.0,0.0,22.5568977933,0.0,0.0
2003-10-16,0.0,0.0,0.0,66.9,0.0,0.0,0.0,22.7749893466,0.0,0.0
2003-10-17,0.0,0.0,0.0,64.5,0.0,0.0,0.0,22.3738566683,0.0,0.0
2003-10-20,0.0,0.0,0.0,66.3,0.0,0.0,0.0,22.7009939982,0.0,0.0
2003-10-21,0.0,0.0,0.0,66.79,0.0,0.0,0.0,22.506269397,0.0,0.0
2003-10-22,0.0,0.0,0.0,63.6,0.0,0.0,0.0,22.4166960805,0.0,0.0
2003-10-23,0.0,0.0,0.0,59.5,0.0,0.0,0.0,22.841195711,0.0,0.0
2003-10-24,0.0,0.0,0.0,59.1,0.0,0.0,0.0,22.5296363492,0.0,0.0
2003-10-27,0.0,0.0,0.0,60.9,0.0,0.0,0.0,22.8606681711,0.0,0.0
2003-10-28,0.0,0.0,0.0,62.7,0.0,0.0,0.0,23.3474796739,0.0,0.0
2003-10-29,0.0,0.0,0.0,65.8,0.0,0.0,0.0,23.0943376924,0.0,0.0
2003-10-30,0.0,0.0,0.0,62.6,0.0,0.0,0.0,23.1527550728,0.0,0.0
2003-10-31,0.0,0.0,0.0,62.4,0.0,0.0,0.0,22.9502414876,0.0,0.0
2003-11-03,0.0,0.0,0.0,65.8,0.0,0.0,0.0,23.3864245941,0.0,0.0
2003-11-04,0.0,0.0,0.0,66.1,0.0,0.0,0.0,23.2267504212,0.0,0.0
2003-11-05,0.0,0.0,0.0,68.0,0.0,0.0,0.0,22.8996130913,0.0,0.0
2003-11-06,0.0,0.0,0.0,64.5,0.0,0.0,0.0,23.0437092961,0.0,0.0
2003-11-07,0.0,0.0,0.0,60.1,0.0,0.0,0.0,22.9775029318,0.0,0.0
2003-11-10,0.0,0.0,0.0,57.9,0.0,0.0,0.0,22.5841592375,0.0,0.0
2003-11-11,0.0,0.0,0.0,50.4,0.0,0.0,0.0,22.841195711,0.0,0.0
2003-11-12,0.0,0.0,0.0,51.0,0.0,0.0,0.0,22.8684571551,0.0,0.0
2003-11-13,0.0,0.0,0.0,52.5,0.0,0.0,0.0,22.5685812694,0.0,0.0
2003-11-14,0.0,0.0,0.0,55.8,0.0,0.0,0.0,22.8334067269,0.0,0.0
2003-11-17,0.0,0.0,0.0,53.2,0.0,0.0,0.0,22.5530033013,0.0,0.0
2003-11-18,0.0,0.0,0.0,52.4,0.0,0.0,0.0,22.2648108917,0.0,0.0
2003-11-19,0.0,0.0,0.0,50.2,0.0,0.0,0.0,22.4128015885,0.0,0.0
2003-11-20,0.0,0.0,0.0,50.8,0.0,0.0,0.0,22.4361685406,0.0,0.0
2003-11-21,0.0,0.0,0.0,50.3,0.0,0.0,0.0,22.3972236204,0.0,0.0
2003-11-24,0.0,0.0,0.0,51.5,0.0,0.0,0.0,23.0670762483,0.0,0.0
2003-11-25,0.0,0.0,0.0,55.2,0.0,0.0,0.0,22.8606681711,0.0,0.0
2003-11-26,0.0,0.0,0.0,57.19,0.0,0.0,0.0,22.6386821258,0.0,0.0
2003-11-28,0.0,0.0,0.0,57.8,0.0,0.0,0.0,22.7048884902,0.0,0.0
2003-12-01,0.0,0.0,0.0,57.5,0.0,0.0,0.0,22.8295122349,0.0,0.0
2003-12-02,0.0,0.0,0.0,59.4,0.0,0.0,0.0,22.4128015885,0.0,0.0
