date,NASDAQ
,IXIC
2003-01-02,1384.849976
2003-01-03,1387.079956
2003-01-06,1421.319946
2003-01-07,1431.569946
2003-01-08,1401.069946
2003-01-09,1438.459961
2003-01-10,1447.719971
2003-01-13,1446.040039
2003-01-14,1460.98999
2003-01-15,1438.800049
2003-01-16,1423.75
2003-01-17,1376.189941
2003-01-21,1364.25
2003-01-22,1359.47998
2003-01-23,1388.27002
2003-01-24,1342.140015
2003-01-27,1325.27002
2003-01-28,1342.180054
2003-01-29,1358.060059
2003-01-30,1322.349976
2003-01-31,1320.910034
2003-02-03,1323.790039
2003-02-04,1306.150024
2003-02-05,1301.5
2003-02-06,1301.72998
2003-02-07,1282.469971
2003-02-10,1296.680054
2003-02-11,1295.459961
2003-02-12,1278.969971
2003-02-13,1277.439941
2003-02-14,1310.170044
2003-02-18,1346.540039
2003-02-19,1334.319946
2003-02-20,1331.22998
2003-02-21,1349.02002
2003-02-24,1322.380005
2003-02-25,1328.97998
2003-02-26,1303.680054
2003-02-27,1323.939941
2003-02-28,1337.52002
2003-03-03,1320.290039
2003-03-04,1307.77002
2003-03-05,1314.400024
2003-03-06,1302.890015
2003-03-07,1305.290039
2003-03-10,1278.369995
2003-03-11,1271.469971
2003-03-12,1279.23999
2003-03-13,1340.77002
2003-03-14,1340.329956
2003-03-17,1392.27002
2003-03-18,1400.550049
2003-03-19,1397.069946
2003-03-20,1402.77002
2003-03-21,1421.839966
2003-03-24,1369.780029
2003-03-25,1391.01001
2003-03-26,1387.449951
2003-03-27,1384.25
2003-03-28,1369.599976
2003-03-31,1341.170044
2003-04-01,1348.300049
2003-04-02,1396.719971
2003-04-03,1396.579956
2003-04-04,1383.51001
2003-04-07,1389.51001
2003-04-08,1382.939941
2003-04-09,1356.73999
2003-04-10,1365.609985
2003-04-11,1358.849976
2003-04-14,1384.949951
2003-04-15,1391.01001
2003-04-16,1394.719971
2003-04-17,1425.5
2003-04-21,1424.369995
2003-04-22,1451.359985
2003-04-23,1466.160034
2003-04-24,1457.22998
2003-04-25,1434.540039
2003-04-28,1462.23999
2003-04-29,1471.300049
2003-04-30,1464.310059
2003-05-01,1472.560059
2003-05-02,1502.880005
2003-05-05,1504.040039
2003-05-06,1523.709961
2003-05-07,1506.76001
2003-05-08,1489.689941
2003-05-09,1520.150024
2003-05-12,1541.400024
2003-05-13,1539.680054
2003-05-14,1534.900024
2003-05-15,1551.380005
2003-05-16,1538.530029
2003-05-19,1492.77002
2003-05-20,1491.089966
2003-05-21,1489.869995
2003-05-22,1507.550049
2003-05-23,1510.089966
2003-05-27,1556.689941
2003-05-28,1563.23999
2003-05-29,1574.949951
2003-05-30,1595.910034
2003-06-02,1590.75
2003-06-03,1603.560059
2003-06-04,1634.650024
2003-06-05,1646.01001
2003-06-06,1627.420044
2003-06-09,1603.969971
2003-06-10,1627.670044
2003-06-11,1646.02002
2003-06-12,1653.619995
2003-06-13,1626.48999
2003-06-16,1666.579956
2003-06-17,1668.439941
2003-06-18,1677.140015
2003-06-19,1648.640015
2003-06-20,1644.719971
2003-06-23,1610.75
2003-06-24,1605.609985
2003-06-25,1602.660034
2003-06-26,1634.01001
2003-06-27,1625.26001
2003-06-30,1622.800049
2003-07-01,1640.130005
2003-07-02,1678.72998
2003-07-03,1663.459961
2003-07-07,1720.709961
2003-07-08,1746.459961
2003-07-09,1747.459961
2003-07-10,1715.859985
2003-07-11,1733.930054
2003-07-14,1754.819946
2003-07-15,1753.209961
2003-07-16,1747.969971
2003-07-17,1698.02002
2003-07-18,1708.5
2003-07-21,1681.410034
2003-07-22,1706.099976
2003-07-23,1719.180054
2003-07-24,1701.420044
2003-07-25,1730.699951
2003-07-28,1735.359985
2003-07-29,1731.369995
2003-07-30,1720.910034
2003-07-31,1735.02002
2003-08-01,1715.619995
2003-08-04,1714.060059
2003-08-05,1673.5
2003-08-06,1652.680054
2003-08-07,1652.180054
2003-08-08,1644.030029
2003-08-11,1661.51001
2003-08-12,1687.01001
2003-08-13,1686.609985
2003-08-14,1700.339966
2003-08-15,1702.01001
2003-08-18,1739.48999
2003-08-19,1761.109985
2003-08-20,1760.540039
2003-08-21,1777.550049
2003-08-22,1765.319946
2003-08-25,1764.310059
2003-08-26,1770.650024
2003-08-27,1782.130005
2003-08-28,1800.180054
2003-08-29,1810.449951
2003-09-02,1841.47998
2003-09-03,1852.900024
2003-09-04,1868.969971
2003-09-05,1858.23999
2003-09-08,1888.619995
2003-09-09,1873.430054
2003-09-10,1823.810059
2003-09-11,1846.089966
2003-09-12,1855.030029
2003-09-15,1845.699951
2003-09-16,1887.25
2003-09-17,1883.099976
2003-09-18,1909.550049
2003-09-19,1905.699951
2003-09-22,1874.619995
2003-09-23,1901.719971
2003-09-24,1843.699951
2003-09-25,1817.23999
2003-09-26,1792.069946
2003-09-29,1824.560059
2003-09-30,1786.939941
2003-10-01,1832.25
2003-10-02,1836.219971
2003-10-03,1880.569946
2003-10-06,1893.459961
2003-10-07,1907.849976
2003-10-08,1893.780029
2003-10-09,1911.900024
2003-10-10,1915.310059
2003-10-13,1933.530029
2003-10-14,1943.189941
2003-10-15,1939.099976
2003-10-16,1950.140015
2003-10-17,1912.359985
2003-10-20,1925.140015
2003-10-21,1940.900024
2003-10-22,1898.069946
2003-10-23,1885.51001
2003-10-24,1865.589966
2003-10-27,1882.910034
2003-10-28,1932.26001
2003-10-29,1936.560059
2003-10-30,1932.689941
2003-10-31,1932.209961
2003-11-03,1967.699951
2003-11-04,1957.969971
2003-11-05,1959.369995
2003-11-06,1976.369995
2003-11-07,1970.73999
2003-11-10,1941.640015
2003-11-11,1930.75
2003-11-12,1973.109985
2003-11-13,1967.349976
2003-11-14,1930.26001
2003-11-17,1909.609985
2003-11-18,1881.75
2003-11-19,1899.650024
2003-11-20,1881.920044
2003-11-21,1893.880005
2003-11-24,1947.140015
2003-11-25,1943.040039
2003-11-26,1953.310059
2003-11-28,1960.26001
2003-12-01,1989.819946
2003-12-02,1980.069946
2003-12-03,1960.25
2003-12-04,1968.800049
2003-12-05,1937.819946
2003-12-08,1948.849976
2003-12-09,1908.319946
2003-12-10,1904.650024
2003-12-11,1942.319946
2003-12-12,1949
2003-12-15,1918.26001
2003-12-16,1924.290039
2003-12-17,1921.329956
2003-12-18,1956.180054
2003-12-19,1951.02002
2003-12-22,1955.800049
2003-12-23,1974.780029
2003-12-24,1969.22998
2003-12-26,1973.140015
2003-12-29,2006.47998
2003-12-30,2009.880005
2003-12-31,2003.369995
2004-01-02,2006.680054
2004-01-05,2047.359985
2004-01-06,2057.370117
2004-01-07,2077.679932
2004-01-08,2100.25
2004-01-09,2086.919922
2004-01-12,2111.780029
2004-01-13,2096.439941
2004-01-14,2111.129883
2004-01-15,2109.080078
2004-01-16,2140.459961
2004-01-20,2147.97998
2004-01-21,2142.449951
2004-01-22,2119.01001
2004-01-23,2123.870117
2004-01-26,2153.830078
2004-01-27,2116.040039
2004-01-28,2077.370117
2004-01-29,2068.22998
2004-01-30,2066.149902
2004-02-02,2063.149902
2004-02-03,2066.209961
2004-02-04,2014.140015
2004-02-05,2019.560059
2004-02-06,2064.01001
2004-02-09,2060.570068
2004-02-10,2075.330078
2004-02-11,2089.659912
2004-02-12,2073.610107
2004-02-13,2053.560059
2004-02-17,2080.350098
2004-02-18,2076.469971
2004-02-19,2045.959961
2004-02-20,2037.930054
2004-02-23,2007.52002
2004-02-24,2005.439941
2004-02-25,2022.97998
2004-02-26,2032.569946
2004-02-27,2029.819946
2004-03-01,2057.800049
2004-03-02,2039.650024
2004-03-03,2033.359985
2004-03-04,2055.110107
2004-03-05,2047.630005
2004-03-08,2008.780029
2004-03-09,1995.160034
2004-03-10,1964.150024
2004-03-11,1943.890015
2004-03-12,1984.72998
2004-03-15,1939.199951
2004-03-16,1943.089966
2004-03-17,1976.76001
2004-03-18,1962.439941
2004-03-19,1940.469971
2004-03-22,1909.900024
2004-03-23,1901.800049
2004-03-24,1909.47998
2004-03-25,1967.170044
2004-03-26,1960.02002
2004-03-29,1992.569946
2004-03-30,2000.630005
2004-03-31,1994.219971
2004-04-01,2015.01001
2004-04-02,2057.169922
2004-04-05,2079.120117
2004-04-06,2059.899902
2004-04-07,2050.23999
2004-04-08,2052.879883
2004-04-12,2065.47998
2004-04-13,2030.079956
2004-04-14,2024.849976
2004-04-15,2002.170044
2004-04-16,1995.73999
2004-04-19,2020.430054
2004-04-20,1978.630005
2004-04-21,1995.630005
2004-04-22,2032.910034
2004-04-23,2049.77002
2004-04-26,2036.77002
2004-04-27,2032.530029
2004-04-28,1989.540039
2004-04-29,1958.780029
2004-04-30,1920.150024
2004-05-03,1938.719971
2004-05-04,1950.47998
2004-05-05,1957.26001
2004-05-06,1937.73999
2004-05-07,1917.959961
2004-05-10,1896.069946
2004-05-11,1931.349976
2004-05-12,1925.589966
2004-05-13,1926.030029
2004-05-14,1904.25
2004-05-17,1876.640015
2004-05-18,1897.819946
2004-05-19,1898.170044
2004-05-20,1896.589966
2004-05-21,1912.089966
2004-05-24,1922.97998
2004-05-25,1964.650024
2004-05-26,1976.150024
2004-05-27,1984.5
2004-05-28,1986.73999
2004-06-01,1990.77002
2004-06-02,1988.97998
2004-06-03,1960.26001
2004-06-04,1978.619995
2004-06-07,2020.619995
2004-06-08,2023.530029
2004-06-09,1990.609985
2004-06-10,1999.869995
2004-06-14,1969.98999
2004-06-15,1995.599976
2004-06-16,1998.22998
2004-06-17,1983.670044
2004-06-18,1986.72998
2004-06-21,1974.380005
2004-06-22,1994.150024
2004-06-23,2020.97998
2004-06-24,2015.569946
2004-06-25,2025.469971
2004-06-28,2019.819946
2004-06-29,2034.930054
2004-06-30,2047.790039
