date,SP500,Alphabet,Apple,Amazon,Microsoft,eBay,Taiwan_Semicon,ON_Semiconductor,Intel,IBM,AMD,Cisco_Systems,Adobe_Systems,AutoDesk,AT&T,Disney,SalesForce,JP_Morgan,Bank of America,Berkshire Hathaway,Johnson&Johnson,P&G,Home Depot,Walmart,Cocal Cola,Pepsico,Unilever,McDonald's,Starbucks,Merck,United Health,Visa,Master Card,Exxon Mobil,Chevron,General Electronics,US Steel,Tesla,Alibaba,Gilead Sciences,Twitter,GoPro,Tiffany & Co,Shake Shack,Lululemon,DuPont,Splunk,Atlassian,Okta,Pluralsight,Zscaler,DocuSign,MongoDB,WisdomTree India,iShares Singapore,Vietnam(VNM),iShares Indonesia,iShares Philippin,ChinaAMC,AIG,Pfizer,Citigroup,Caterpillar,NVIDIA,Nike,PayPal,Xilinx,Square,Micron Tech,Target,Workday,TWLIO,Roku,VMware,US Bond ETF,US REIT ETF,Gold Shares,Match,Costco,Tencent,NIO,Uber,Lyft,Slack,Kura Sushi,Crowd Strike,Zoom Video,Baidu,Pinterest,Pinduoduo,IQIYI,Momo,Luckin Coffee,Beyond Meat,Guardant Health,CRISPR Therapeautics,10x Genomics,Moderna,Regeneron,Blue Apron,Shopify,ServiceNow,Datadog,Livongo Health
,SPY,GOOGL,AAPL,AMZN,MSFT,EBAY,TSM,ON,INTC,IBM,AMD,CSCO,ADBE,ADSK,T,DIS,CRM,JPM,BAC,BRK-B,JNJ,PG,HD,WMT,KO,PEP,UL,MCD,SBUX,MRK,UNH,V,MA,XOM,CVX,GE,X,TSLA,BABA,GILD,TWTR,GPRO,TIF,SHAK,LULU,DD,SPLK,TEAM,OKTA,PS,ZS,DOCU,MDB,EPI,EWS,VNM,EIDO,EPHE,PEK,AIG,PFE,C,CAT,NVDA,NKE,PYPL,XLNX,SQ,MU,TGT,WDAY,TWLO,ROKU,VMW,BND,IYR,GLD,MTCH,COST,TCEHY,NIO,UBER,LYFT,WORK,KRUS,CRWD,ZM,BIDU,PINS,PDD,IQ,MOMO,LK,BYND,GH,CRSP,TXG,MRNA,REGN,APRN,SHOP,NOW,DDOG,LVGO
2003-01-15,65.3447002306,0,0.8922145222,22.27,18.0414177438,7.6609232896,4.7553978526,1.68,11.1390869816,58.2638886141,7.45,11.6492002215,13.948340679,7.897015447,10.4636106201,14.3982783354,0,16.7950547752,22.4689661433,46.5,34.0207834154,26.5138028423,14.7666416055,35.3690504167,13.4964387404,27.2348413458,10.8103272246,10.35994569,4.2944063579,29.4133883981,17.4099893477,0,0,21.0155462015,18.1305464404,14.2106218699,14.3055235676,0,0,3.9801733991,0,0,19.1749851288,0,0,0,0,0,0,0,0,0,0,0,4.7924803702,0,0,0,0,865.5843517404,15.8394343056,267.2235221201,14.968058635,3.6740550669,4.5689607839,0,17.9637905221,0,9.96,20.8384702123,0,0,0,0,0,18.3519747494,0,0,22.1400839433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.95,0,0,0,0,0
2003-01-16,65.0759666149,0,0.9039623226,21.8,17.7464452128,7.4264052298,4.4998507717,1.65,11.0427836359,57.2394978335,7.2,11.4343269631,13.5643498916,7.6742156381,10.2106361517,14.4462992749,0,16.6089943456,22.3274541102,46.26,33.8228443119,26.8132020129,14.969201847,35.1663023515,13.7278921442,27.7359015382,10.8801463455,9.838534403,4.273303624,29.1951072226,17.465191753,0,0,21.1118097971,18.1757730419,14.1203598811,14.5585693855,0,0,4.0822291273,0,0,19.279725586,0,0,0,0,0,0,0,0,0,0,0,4.7924803702,0,0,0,0,862.1489478995,15.5793450724,264.7974607711,15.1044779909,3.4256423287,4.5262044588,0,17.2013448316,0,9.65,21.0476218035,0,0,0,0,0,18.1901876035,0,0,21.9583098551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
2003-01-17,64.1141831483,0,0.8718104479,21.4,16.499224402,7.8016341256,4.2165268343,1.47,10.4906444541,54.0798509456,6.03,10.8434255026,12.8961061837,7.4761713636,10.0016572431,14.2462120273,0,16.2430755008,22.4784002788,46.24,33.8908858787,26.8656740325,15.1447540563,34.9355890359,13.5565565077,27.6851612655,10.688143763,9.590243314,4.2395392497,28.9420994964,17.906810995,0,0,20.8892002324,18.1199048871,14.0357392665,14.4910905007,0,0,3.9049744415,0,0,18.6812086877,0,0,0,0,0,0,0,0,0,0,0,4.7608119977,0,0,0,0,850.8808233016,15.6261611343,262.5854636587,15.0373611823,3.2968357236,4.4794708012,0,16.0968674294,0,9.16,20.6850923786,0,0,0,0,0,17.9487142516,0,0,21.8637873292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.27,0,0,0,0,0
2003-01-21,63.1170399955,0,0.8668640057,21.08,16.4575435008,7.896483652,4.194305349,1.3,10.4585433389,53.5743074435,6,10.8817957273,12.8013552102,7.4563669361,9.7890120378,13.7259851836,0,15.7655203983,22.2425468903,45.2,33.3960381199,26.5477553256,14.7193775492,34.2644230268,13.4423327499,27.4948852431,10.4205037994,9.5219632645,4.1783413212,28.1384278957,17.6562770019,0,0,20.4078822547,17.784695958,13.5731465737,14.2380446829,0,0,3.8544837129,0,0,17.7983962627,0,0,0,0,0,0,0,0,0,0,0,4.7608119977,0,0,0,0,843.7351833126,15.8654432289,257.8760504518,14.7241494084,3.2140314776,4.3591564911,0,16.0754904474,0,8.9,19.9600335288,0,0,0,0,0,17.9100785153,0,0,21.2893812105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.88,0,0,0,0,0
2003-01-22,62.353270772,0,0.8582077317,21.17,16.3517381364,7.8443685276,4.2220822056,1.37,10.4328624467,53.015548836,5.72,10.7129667386,12.856211037,7.2830781959,9.8733368606,13.8620445119,0,15.3189753673,22.2960069917,45.5,33.4022237169,26.4026856243,14.5708333721,33.6072396429,13.3912326478,27.1460458686,10.2255920868,9.5343778189,4.2310981561,27.592724957,17.5692270552,0,0,20.1491738417,17.4787513005,13.2854364842,13.7825622108,0,0,3.8448152755,0,0,17.9555069485,0,0,0,0,0,0,0,0,0,0,0,4.6763630044,0,0,0,0,829.9935679492,15.9746807069,256.1635365584,14.2063911701,3.2170983015,4.3173944992,0,15.3201704175,0,8.5,19.5626455054,0,0,0,0,0,17.9293963834,0,0,21.1221490494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.12,0,0,0,0,0
2003-01-23,62.7351553837,0,0.8761385849,21.79,16.7621347014,7.8902298371,4.555404485,1.39,10.7025118146,53.913553741,5.65,11.1964315699,13.3698610512,7.6148023558,9.3600553305,14.1501701484,0,15.585661983,22.516136821,46.2,33.8970714757,26.4957292716,14.827409678,33.9568052726,13.1958499044,26.5942454035,10.0510442844,9.3109158388,4.2247673359,27.4587796902,18.0023536194,0,0,20.1010420439,17.2845429528,13.5110914563,13.4704723688,0,0,3.859855067,0,0,18.3819502385,0,0,0,0,0,0,0,0,0,0,0,4.7608119977,0,0,0,0,837.2766240918,16.1307342469,265.0115250077,14.5355831364,3.3060361954,4.4387031424,0,15.4056783454,0,8.79,20.0436941654,0,0,0,0,0,17.9752763203,0,0,21.529323007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.11,0,0,0,0,0
2003-01-24,61.0873940034,0,0.8532612894,22.11,15.9830224726,7.8464531326,4.2998574041,1.34,10.176053525,52.5432647748,5.43,10.6362262892,12.901093077,7.4514158293,8.9970919628,13.6859677341,0,14.766996093,21.8934838754,45.66,33.1609854345,26.1204532278,14.3547691145,33.0689085731,12.8742198497,26.0424449385,10.2110464366,9.2488430665,4.8430774405,26.565811245,18.0065999583,0,0,19.667855864,16.9041074222,13.0090091433,13.0909036421,0,0,3.7535022555,0,0,17.7460260341,0,0,0,0,0,0,0,0,0,0,0,4.7080313769,0,0,0,0,770.0801249648,15.7353986123,255.3786343572,14.0370011291,3.1189599358,4.3154058329,0,14.8641281353,0,8.23,19.3116635958,0,0,0,0,0,17.811074441,0,0,21.0130845964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.63,0,0,0,0,0
2003-01-27,60.2529054074,0,0.8736653638,21.78,15.7649992974,7.6807270369,4.160973121,1.215,10.1953141941,52.1641071483,5.28,10.521115615,12.871171717,7.3573447989,9.1107471587,13.4058455875,0,14.4444913484,21.5790126907,44.7,32.2764450657,25.7575830037,13.9091365832,32.9290823212,12.5616074602,25.7189757003,10.0510442844,9.124697522,4.7734384185,25.6778037356,17.5225173276,0,0,19.1444225632,16.4545017951,13.003367769,12.7703789395,0,0,3.7492051722,0,0,17.252249593,0,0,0,0,0,0,0,0,0,0,0,4.5496895144,0,0,0,0,758.8120003668,15.506520087,250.3838021681,13.822866549,3.0729575768,4.3313151631,0,14.557724727,0,7.99,19.0049079286,0,0,0,0,0,17.6517020287,0,0,20.9185620706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.15,0,0,0,0,0
2003-01-28,60.6984388688,0,0.9014891015,21.62,15.6527814867,7.6536271722,3.972090496,1.348,10.2916175398,53.2882762515,5.3,10.9124919071,13.3050314378,7.5306335391,8.9164334366,13.4858804865,0,14.5809356634,21.7299588593,45,32.8084064064,26.3623667106,13.8618725268,33.6841440814,12.3542011633,25.7062906321,10.2721381674,9.1060756904,4.7882103322,26.9874907886,17.8664707757,0,0,19.6498064398,16.7471445109,13.0597815121,12.7788138001,0,0,3.8426667338,0,0,17.5889153483,0,0,0,0,0,0,0,0,0,0,0,4.6446946319,0,0,0,0,769.5304603502,15.6053539957,253.0239277538,14.0082367825,3.1833632383,4.435720143,0,14.8997564386,0,7.94,18.8236432162,0,0,0,0,0,17.7168998337,0,0,21.2384844658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.51,0,0,0,0,0
2003-01-29,61.1581154976,0,0.9014891015,21.62,16.0022598115,7.6536271722,3.9998673527,1.348,10.2916175398,53.4279659034,5.3,10.9124919071,13.3050314378,7.5306335391,8.9164334366,13.4858804865,0,14.5809356634,21.8840497398,44.98,32.8084064064,26.3623667106,13.8618725268,33.6841440814,12.3542011633,25.7062906321,9.9841342935,9.1060756904,4.7882103322,26.9874907886,17.8664707757,0,0,19.6498064398,16.7471445109,12.9920850204,12.5763771458,0,0,3.8426667338,0,0,17.5889153483,0,0,0,0,0,0,0,0,0,0,0,4.6446946319,0,0,0,0,769.5304603502,15.6053539957,253.0239277538,14.0082367825,3.1833632383,4.435720143,0,14.8997564386,0,7.94,18.9282190118,0,0,0,0,0,17.7168998337,0,0,21.2384844658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.51,0,0,0,0,0
